頻道名稱,影片發佈時間,影片連結,影片長度,,,,,WAV檔名,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/b-tC9PCixhM?si=n49Z38KyJXZfung3,,0:06:12,,,,國小社會 臺北市萬華區的鄉土環境~艋舺龍山寺和地藏庵上,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/F_dyfCh3SHA?si=w02eA1g-bqMFyYEs,,0:05:07,,,,國小社會 萬華區的鄉土環境,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/nyytE1qhqko?si=fDWqj4-zeD0g7iTy,,0:05:25,,,,國小社會 臺北市萬華區的鄉土環境~艋舺清水巖祖師廟,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/qo1_VDgT6lk?si=ewWpyxA9hgy2k7UH,,0:05:53,,,,國小社會 臺北市萬華區的鄉土環境~艋舺青山宮,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/JIhiZuQcNos?si=4aeXvXcDEsXVZOeC,,0:08:19,,,,國小社會 臺北市北投區的鄉土環境 地理篇,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/F_dyfCh3SHA?si=pyfqQenwwSzS6JXQ,,0:05:07,,,,國小社會 萬華區的鄉土環境,,,,
臺北酷課雲-3年級社會,,,,,,,,臺北市中正區的鄉土環境,,,,
臺北酷課雲-3年級社會,,,,,,,,臺北市士林區的鄉土環境,,,,
臺北酷課雲-3年級社會,,,,,,,,臺北市信義區的鄉土環境,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/_mrdfwdGqNk?si=aPBElJRHlBNCoyeJ,,0:12:01,,,,國小社會 學習的方法,,,,
臺北酷課雲-3年級社會,2018年10月11日,https://youtu.be/JuJcvsibEyk?si=-drDZtvDnpk_AU1W,,0:05:14,,,,國小社會 消費行為,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/RBN4vN-PGTo?si=ABCuwGeiNulrje7_,,0:14:04,,,,國小自然 空氣的流動,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/bpoHwaICA9A?si=GmjBqUIoJrnV2d1H,,0:11:35,,,,國小自然 天氣預報知多少,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/njEmRqsFX-8?si=9celxe5yi3nEgFrS,,0:10:32,,,,國小自然 天氣變了,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/BbU7daJlblc?si=8lsiOl8kdDrbA-J-,,0:11:37,,,,國小自然 種蔬菜,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/_3vy5btcuOw?si=gvdR1-0wIs68tMyF,,0:06:55,,,,國小自然 氣溫大不同,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/NxkpNs5sFmU?si=jNd44K09154yJuf6,,0:06:32,,,,國小自然 動物生長的三要素,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/qot6q-CCdyg?si=QWfl_k74Yk0pKeRp,,0:06:39,,,,國小自然 動物的構造與運動方式,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/qxrkldBTOv0?si=V4N_JSuy_TOorlg-,,0:06:56,,,,國小自然 認識常見的動物,,,,
臺北酷課雲-3年級自然,2018年11月8日,https://youtu.be/BPYc7gto49c?si=skUXuK5B9htifSpI,,0:08:24,,,,國小自然 認識植物的根莖葉,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1347,8分42秒,0:08:42,0,8,42,國小國語 標點符號的前世今生,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2805,5分14秒,0:05:14,0,5,14,國小國語 多義詞(2)以「老」和「走」為例,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/21856,11分57秒,0:11:57,0,11,57,國小國語 一字多音超有梗_雞同鴨講_以訛傳訛_對口相聲,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1384,6分18秒,0:06:18,0,6,18,國小國語 感情發抒的修辭：設問、感嘆和呼告2,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1375,10分02秒,0:10:02,0,10,02,國小國語 因果句(2)：推論因果關係,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3240,8分02秒,0:08:02,0,8,02,國小國語 因果句(3)：關聯詞語1,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/23731,9分31秒,0:09:31,0,9,31,國小國語 誇飾法(上),,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/23736,10分08秒,0:10:08,0,10,08,國小國語 誇飾法(下),,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1388,10分21秒,0:10:21,0,10,21,國小國語 記敘文：由外貌特徵、動作行為看人物描寫,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1394,11分33秒,0:11:33,0,11,33,國小國語 記敘文：由對話、寫事看人物描寫,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1397,5分54秒,0:05:54,0,5,54,國小國語 說明文：說明的方法1,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1398,6分32秒,0:06:32,0,6,32,國小國語 說明文：說明的方法2,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1399,8分14秒,0:08:14,0,8,14,國小國語 說明文：說明的方法3,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2812,7分31秒,0:07:31,0,7,31,國小國語 淺談劇本,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/20406,10分54秒,0:10:54,0,10,54,國小國語 記敘文:視覺摹寫-也可以這樣捕捉美景,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/23466,9分14秒,0:09:14,0,9,14,國小國語 段落理解,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/23511,6分43秒,0:06:43,0,6,43,國小國語 擴寫1觀念篇,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/23516,9分43秒,0:09:43,0,9,43,國小國語 擴寫2增加形容詞和想像,,,,
臺北酷課雲-4年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/23521,9分22秒,0:09:22,0,9,22,國小國語 擴寫3增加細節描述,,,,
臺北酷課雲-4年級社會,2018年10月9日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3840,8分16秒,0:08:16,0,8,16,國小社會 分工與貿易,,,,
臺北酷課雲-4年級社會,,,,,,,, 家鄉大不同,,,,
臺北酷課雲-4年級社會,2018年10月9日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/26251,7分51秒,0:07:51,0,7,51,國小社會 臺北市的自然地理環境介紹,,,,
臺北酷課雲-4年級社會,2018年10月9日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/4586,7分15秒,0:07:15,0,7,15,國小社會 選擇,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3168,12分04秒,0:12:04,0,12,04,國小自然 生活中的各種力,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1264,9分05秒,0:09:05,0,9,05,國小自然 有趣的磁鐵,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1281,11分24秒,0:11:24,0,11,24,國小自然 調味品的溶解現象,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1284,15分55秒,0:15:55,0,15,55,國小自然 增加溶解量的方法,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1292,9分58秒,0:09:58,0,9,58,國小自然 檢測水溶液的酸鹼性質,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3825,7分18秒,0:07:18,0,7,18,國小自然 電路與電路,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3826,8分42秒,0:08:42,0,8,42,國小自然 電路的連接形式,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/4563,11分53秒,0:11:53,0,11,53,國小自然 生活比一比,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/4564,12分26秒,0:12:26,0,12,26,國小自然 物體的尺度,,,,
臺北酷課雲-4年級自然,2018年11月6日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/25786,13分56秒,0:13:56,0,13,56,國小自然 水與空氣的污染與防治,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1337,10分10秒,0:10:10,0,10,10,國小國語 文字打哪兒來,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1338,16分56秒,0:16:56,0,16,56,國小國語 象形字變身秀,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1339,11分38秒,0:11:38,0,11,38,國小國語 象形字隱身術,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1342,5分33秒,0:05:33,0,5,33,國小國語 會意字2,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1349,5分45秒,0:05:45,0,5,45,國小國語 假設句：關聯詞語和用法1,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2807,5分39秒,0:05:39,0,5,39,國小國語 重複之美的修辭1,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1392,11分36秒,0:11:36,0,11,36,國小國語 議論文概說,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3243,6分21秒,0:06:21,0,6,21,國小國語 段落大意(8)：提問摘取法1,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3242,8分37秒,0:08:37,0,8,37,國小國語 段落大意(8)：提問摘取法2,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3250,5分23秒,0:05:23,0,5,23,國小國語 記敘文：寫物1,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3251,5分35秒,0:05:35,0,5,35,國小國語 記敘文：寫物2,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3252,5分52秒,0:05:52,0,5,52,國小國語 記敘文：寫景的方式1,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3253,6分25秒,0:06:25,0,6,25,國小國語 記敘文：寫景的方式2,,,,
臺北酷課雲-5年級國文,2018年10月1日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/20791,11分43秒,0:11:43,0,11,43,國小國語 認識比較閱讀,,,,
臺北酷課雲-5年級社會,2018年10月9日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/26141,8分24秒,0:08:24,0,8,24,國小社會 臺灣的水資源,,,,
臺北酷課雲-5年級社會,2018年10月9日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/26166,5分20秒,0:05:20,0,5,20,國小社會 臺灣的環境破壞、污染問題與解決,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1257,7分29秒,0:07:29,0,7,29,國小自然 認識天氣圖,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1259,7分57秒,0:07:57,0,7,57,國小自然 彎彎河流身邊繞,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1288,8分02秒,0:08:02,0,8,02,國小自然 觀察鐵生鏽的狀態,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1295,6分30秒,0:06:30,0,6,30,國小自然 加速鐵生鏽的因素,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3201,7分31秒,0:07:31,0,7,31,國小自然 校園植物的多樣性,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/4581,5分17秒,0:05:17,0,5,17,國小自然 土壤裡有甚麼東西呢？,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/7381,6分56秒,0:06:56,0,6,56,國小自然 生物子代與親代具有相似性和相異性,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2270,7分23秒,0:07:23,0,7,23,國小自然 我們的大氣與海洋,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1273,13分31秒,0:13:31,0,13,31,國小自然 電與磁,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1280,7分03秒,0:07:03,0,7,03,國小自然 食物的保存,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1286,10分17秒,0:10:17,0,10,17,國小自然 物質燃燒與空氣,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2267,6分38秒,0:06:38,0,6,38,國小自然 動物的繁殖方式,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2269,7分18秒,0:07:18,0,7,18,國小自然 動物的社會性行為,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3822,13分20秒,0:13:20,0,13,20,國小自然 音響世界,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3823,11分19秒,0:11:19,0,11,19,國小自然 光的折射,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3824,7分10秒,0:07:10,0,7,10,國小自然 光的色散,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/4574,9分29秒,0:09:29,0,9,29,國小自然 生活中常見的鹽類溶於水的酸鹼性,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/4575,10分54秒,0:10:54,0,10,54,國小自然 物質狀態和性質的改變,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1275,8分25秒,0:08:25,0,8,25,國小自然 物質分離,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1278,11分16秒,0:11:16,0,11,16,國小自然 氧氣的性質與製備,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1279,12分08秒,0:12:08,0,12,08,國小自然 二氧化碳的性質,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1287,11分23秒,0:11:23,0,11,23,國小自然 物質燃燒後的產物,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3173,6分24秒,0:06:24,0,6,24,國小自然 可用酸鹼性或可不可燃來分辨物質,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3199,8分32秒,0:08:32,0,8,32,國小自然 認識植物的花及果實,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3244,10分47秒,0:10:47,0,10,47,國小自然 植物種子的傳播方式,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/4058,6分53秒,0:06:53,0,6,53,國小自然 動物的一生,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/4090,7分41秒,0:07:41,0,7,41,國小自然 環境的變化對植物的影響,,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/7386,11分09秒,0:11:09,0,11,09,國小自然 分類的方法(二分法),,,,
臺北酷課雲-5年級自然,2018年11月8日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/25816,7分44秒,0:07:44,0,7,44,國小自然 我愛水資源,,,,
臺北酷課雲-6年級國語,2018年9月28日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/1345,9分56秒,0:09:56,0,9,56,國小國語 外來語,,,,
臺北酷課雲-6年級國語,2018年9月28日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2808,6分34秒,0:06:34,0,6,34,國小國語 重複之美的修辭2,,,,
臺北酷課雲-6年級國語,2018年9月28日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2809,12分14秒,0:12:14,0,12,14,國小國語 摘取文章的主要意思,,,,
臺北酷課雲-6年級國語,2018年9月28日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/2810,13分54秒,0:13:54,0,13,54,國小國語 摘要:整理歸納文章訊息,,,,
臺北酷課雲-6年級國語,2018年9月28日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/20276,8分10秒,0:08:10,0,8,10,國小國語 詩歌概說3詩的表述特性,,,,
臺北酷課雲-6年級社會,2018年10月9日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/3914,11分33秒,0:11:33,0,11,33,國小社會 脫歐的考驗 奔跑吧!!小英!!!,,,,
臺北酷課雲-6年級社會,2018年10月9日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/26276,5分56秒,0:05:56,0,5,56,國小社會 個人與國家,,,,
臺北酷課雲-6年級社會,2018年10月9日,https://learning.cooc.tp.edu.tw/coocLearning/media/view/26296,7分24秒,0:07:24,0,7,24,國小社會 社會互動、團體與規範,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/o29HCqp8F3M,,0:16:11,,,,國小自然 地層中的老爺爺,,,,
臺北酷課雲-6年級自然,2018年11月6日,https://youtu.be/v6ULZM7uezw,,0:10:46,,,,國小自然 力的世界,,,,
臺北酷課雲-6年級自然,2018年11月6日,https://youtu.be/_t4EosWcQ8Q,,0:08:32,,,,國小自然 外營力作用下的大地形貌,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/QVEDTsqYUk0,,0:10:04,,,,國小自然 熱的傳播方式,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/aa49oQE4P4w,,0:09:11,,,,國小自然 物質的性質,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/rQeeWviFrhI,,0:17:02,,,,國小自然 物質受熱的變化,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/YoUsGYOfiss,,0:13:56,,,,國小自然 能量的形成轉換與應用,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/Iu784Xx8R34,,0:17:35,,,,國小自然 熱的傳播,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/TAM4XC0ce_0,,0:10:22,,,,國小自然 能量與能源 5436,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/lYew9nD3PJM,,0:08:36,,,,國小自然 熱和水的三態,,,,
臺北酷課雲-6年級自然,2018年11月8日,https://youtu.be/b_75avD1ON0,,0:14:46,,,,國小自然 岩石礦物一家親1,,,,
